ChurchName,ConferenceName
Lincoln Northside Seventh-day Adventist Church,Kansas-Nebraska Conference
Lincoln Piedmont Park Seventh-day Adventist Church,Kansas-Nebraska Conference
Lincoln Pioneer Adventist Church,Ontario Conference
Lincoln Seventh-day Adventist Church,Northern New England Conference
Lincoln Seventh-day Adventist Church,Arkansas-Louisiana Conference
Lincoln Seventh-day Adventist Church,Southern New England Conference
Lincoln Spanish Seventh-day Adventist Church,Northern California Conference
Lincolnton Seventh-day Adventist Church,Carolina Conference
Lincolnton Spanish Seventh-day Adventist Company,Carolina Conference
Linden Seventh-day Adventist Church,Northeastern Conference
Linden Seventh-day Adventist Church,Texas Conference
Lindsay Adventist Company,Ontario Conference
Lindsay Seventh-day Adventist Church,Central California Conference
Lindsay Seventh-day Adventist Hispanic Church,Central California Conference
Lineville Group,Iowa-Missouri Conference
Lineville Seventh-day Adventist Church,Gulf States Conference
Linthicum Seventh-day Adventist Church,Chesapeake Conference
Lintonia Chapel Seventh-day Adventist Church (Yazoo City),South Central Conference
Linwood Boulevard Seventh-day Adventist Temple,Central States Conference
Linwood International Seventh-day Adventist Company,Central States Conference
Litchfield Seventh-day Adventist Church,Minnesota Conference
Lithonia - Emmanuel Seventh-day Adventist Church,South Atlantic Conference
Lithonia - First Lithonia Seventh-day Adventist Church,South Atlantic Conference
Little Creek Adventist Fellowship Church,Carolina Conference
Little Creek Hispanic Seventh-day Adventist Company,Carolina Conference
Little Rock (Central) Spani Seventh-day Adventist Ch,Arkansas-Louisiana Conference
Little Rock Seventh-day Adventist Church,Arkansas-Louisiana Conference
Little Village Hispanic  Seventh-day Adventist Church,Illinois Conference
Littleton Seventh-day Adventist Church,Rocky Mountain Conference
Live Oak Seventh-day Adventist Company,Florida Conference
Live Oak Spanish (Mission Group),Florida Conference
Live Oak Spanish Seventh-day Adventist Company,Northern California Conference
Livermore Seventh-day Adventist Church,Northern California Conference
Living Faith Adventist Church,Allegheny East Conference
Living Faith Adventist Company,Ontario Conference
Living Faith Seventh-day Adventist Church,Wisconsin Conference
Living Hope Adventist Company,Upper Columbia Conference
Living Hope Seventh-day Adventist Church,Manitoba-Saskatchewan Conference
Living Hope Seventh-day Adventist Church,Potomac Conference
Living Hope Seventh-day Adventist Church,Southern California Conference
Living Hope Seventh-day Adventist Company,Greater New York Conference
Living Manna of Northeastern Conference,Northeastern Conference
Living Springs Adventist Church,Allegheny East Conference
Living Stone Mission Group,Rocky Mountain Conference
Living Stones Seventh-day Adventist Church,Southern California Conference
Living Truth Adventist Company,Ontario Conference
Living Water Fil-Am Seventh-day Adventist Church,Nevada-Utah Conference
Living Water Mission Group,Potomac Conference
Living Waters Oildale Seventh-day Adventist Church,Central California Conference
Living Word Adventist Church,Oregon Conference
Living Word Seventh-day Adventist Church,Chesapeake Conference
Living Word Seventh-day Adventist Mission Group,Potomac Conference
Living Word Seventh-Day Adventist Church,Greater New York Conference
Livingston  Seventh-day Adventist Church,Michigan Conference
Livingston Adventist Church,Montana Conference
Livingston Hispanic Seventh-day Adventist Church,Central California Conference
Livingston Seventh-day Adventist Church,Greater New York Conference
Livingston Seventh-day Adventist Fellowship,Georgia-Cumberland Conference
Livingston Seventh-day Adventist Spanish Company,Southwest Region Conference
Lloydminster Seventh-day Adventist Church,Alberta Conference
Lobelville Seventh-day Adventist Church,Kentucky-Tennessee Conference
Lock Haven Seventh-day Adventist Church,Pennsylvania Conference
Lockeford Seventh-day Adventist Church,Northern California Conference
Lockhart Spanish Mission Group,Texas Conference
Lockport Seventh-day Adventist Church,New York Conference
Lockport Spanish Seventh-day Adventist Church,Arkansas-Louisiana Conference
Lodi English Oaks Seventh-day Adventist Church,Northern California Conference
Lodi Fairmont Seventh-day Adventist Church,Northern California Conference
Lodi Spanish Seventh-day Adventist Church,Northern California Conference
Logan Seventh-day Adventist Church,Nevada-Utah Conference
Logansport Hispanic Church,Indiana Conference
Loganville Seventh-day Adventist Church,Georgia-Cumberland Conference
Loma Linda Chinese Seventh-day Adventist Church,Southeastern California Conference
Loma Linda Filipino Seventh-day Adventist Church,Southeastern California Conference
Loma Linda Indonesian Seventh-day Adventist Church,Southeastern California Conference
Loma Linda Korean Seventh-day Adventist Church,Southeastern California Conference
Loma Linda Romanian Seventh-day Adventist Church,Southeastern California Conference
Loma Linda Tagalog Adventist Church,Southeastern California Conference
Loma Linda University Church of SDA,Southeastern California Conference
Loma Linda Vietnamese Church,Southeastern California Conference
Lombard Seventh-day Adventist Fellowship Church,Illinois Conference
Lompoc Seventh-day Adventist Church,Central California Conference
London Adventist Church,Ontario Conference
London Seventh-day Adventist Church,Kentucky-Tennessee Conference
London Spanish Adventist Company,Ontario Conference
Lone Pine Seventh-day Adventist Church,Nevada-Utah Conference
Long Beach Adventist Church,Oregon Conference
Long Beach Seventh-day Adventist Church,Southern California Conference
Long Beach Spanish Seventh-day Adventist Church,Southern California Conference
Long Beach Spanish Seventh-day Adventist Company,Greater New York Conference
Long Branch Brazilian Church Plant,New Jersey Conference
Long Creek Seventh-day Adventist Church,Idaho Conference
Long Island Ghana Seventh-day Adventist Church,Greater New York Conference
Long Island Korean Seventh-day Adventist Company,Greater New York Conference
Long Island Luso Brazilian Seventh-day Adventist Church,Greater New York Conference
Long Island Multi-Ethnic Ministry Group,Greater New York Conference
Longview Heights Seventh-day Adventist Church (Memphis),South Central Conference
Longview Seventh-day Adventist Church,Texas Conference
Longview Spanish Seventh-day Adventist Church,Texas Conference
Lookout Hispanic Seventh-day Adventist,Rocky Mountain Conference
Lookout Mountain Seventh-day Adventist Church,Georgia-Cumberland Conference
Lookout Valley Seventh-day Adventist MG,Georgia-Cumberland Conference
Loris - Emmanuel Seventh-day Adventist Church,South Atlantic Conference
Lorton Spanish Seventh-day Adventist Church,Potomac Conference
Los Alamitos Seventh-day Adventist Church,Southeastern California Conference
Los Alamos Company,Texico Conference
Los Angeles Cantonese Seventh-day Adventist Company,Southern California Conference
Los Angeles Central Korean Seventh-day Adventist Church,Southern California Conference
Los Angeles Chinese Seventh-day Adventist Church,Southern California Conference
Los Angeles Eastside Korean Seventh-day Adventist Church,Southern California Conference
Los Angeles Portuguese Seventh-day Adventist Company,Southern California Conference
Los Angeles Thai Seventh-day Adventist Company,Southern California Conference
Los Angeles Tongan Seventh-day Adventist Church,Southern California Conference
Los Banos Hispanic Seventh-day Adventist Company,Central California Conference
Los Banos Seventh-day Adventist Church,Central California Conference
Los Fresnos Hope Mission Group,Texas Conference
Los Fresnos Spanish Seventh-day Adventist Church,Texas Conference
Los Gatos Seventh-day Adventist Company,Central California Conference
Los Lunas Seventh-day Adventist Church,Texico Conference
Los Olivos Spanish Seventh-day Adventist Church,Southern California Conference
Los Ranchos Company,Texico Conference
Louisville East Hispanic Seventh-day Adventist Company,Kentucky-Tennessee Conference
Louisville First Seventh-day Adventist Church,Kentucky-Tennessee Conference
Louisville Hispanic Seventh-day Adventist Church,Kentucky-Tennessee Conference
Louisville Karen Church,Kentucky-Tennessee Conference
Louisville Korean Seventh-day Adventist Church,Kentucky-Tennessee Conference
Louisville South Seventh-day Adventist Church,Kentucky-Tennessee Conference
Louisville Southeast Hispanic Church,Kentucky-Tennessee Conference
Louisville Southside Hispanic Church,Kentucky-Tennessee Conference
Louisville West Hispanic Seventh-day Adventist Company,Kentucky-Tennessee Conference
Loveland Seventh-day Adventist Church,Rocky Mountain Conference
Lovewell The Woodlands Mission Group,Texas Conference
Loving Spanish Seventh-day Adventist Company,Southwest Region Conference
Lovington Seventh-day Adventist Church,Texico Conference
Lowell All Nations Seventh-day Adventist Church,Southern New England Conference
Lowell Portuguese Seventh-day Adventist Church,Southern New England Conference
Lowell Riverside Fellowship SDA,Michigan Conference
Lowell Spanish Seventh-day Adventist Church,Southern New England Conference
Lowville Seventh-day Adventist Church,Pennsylvania Conference
Loyalist Seventh-day Adventist Church,Alberta Conference
Lubbock Seventh-day Adventist Church,Texico Conference
Lucerne Valley Seventh-day Adventist Church,Southeastern California Conference
Ludington Seventh-day Adventist Church,Michigan Conference
Lufkin Seventh-day Adventist Church,Texas Conference
Lufkin Spanish Company,Southwest Region Conference
Lumber River Seventh-day Adventist Company,Carolina Conference
Lumberton Spanish Seventh-day Adventist Company,Carolina Conference
Lummi Seventh-day Adventist Company,Washington Conference
Luray Seventh-day Adventist Church,Potomac Conference
Luso Brazilian,Allegheny West Conference
Luso-Brazilian Seventh-day Adventist Church,New Jersey Conference
Luz & Esperanza Seventh-day Adventist -Albertville,South Central Conference
Luz de Esperanza Span (Mission Grp),Florida Conference
Luz de Lawrence Seventh-day Adventist Church,Northeastern Conference
Luz en El Camino Mission,Northeastern Conference
Luz Naciente Adventist Church,Allegheny East Conference
Luz y Esperanza Spanish Company,Greater New York Conference
Lyford Seventh-day Adventist Church,Texas Conference
Lynchburg Seventh-day Adventist Church,Potomac Conference
Lynchburg Spanish Seventh-day Adventist Group,Potomac Conference
Lynden Spanish Seventh-day Adventist Group,Washington Conference
Lynn Spanish Seventh-day Adventist Church,Southern New England Conference
Lynnfield Spanish Seventh-day Adventist Group,Southern New England Conference
Lynnwood Seventh-day Adventist Church,Washington Conference
Lynnwood Spanish Seventh-day Adventist Church,Washington Conference
Lynwood Spanish Seventh-day Adventist Church,Southern California Conference
Mableton - Salem French Seventh-day Adventist Church,South Atlantic Conference
Mableton Hispanic Seventh-day Adventist Church,Georgia-Cumberland Conference
Macedoine Taunton Haitian,Northeastern Conference
Macedonia Seventh-day Adventist Church,Greater New York Conference
Macedonia Seventh-day Adventist Church,Northeastern Conference
Macedonia Seventh-day Adventist Church,New York Conference
Macedonia Seventh-day Adventist Church,Southwest Region Conference
Macedonia Seventh-day Adventist Church (Ft. Pierce),Southeastern Conference
Macedonia Seventh-day Adventist Church (Lake City),Southeastern Conference
Macedonia Seventh-day Adventist Church,Allegheny East Conference
Macie Herbert Seventh-day Adventist Church (Greenville),South Central Conference
Macon - Bethany Seventh-day Adventist Church,South Atlantic Conference
Macon Seventh-day Adventist Church,Iowa-Missouri Conference
Macon Wimbish Rd Seventh-day Adventist Church,Georgia-Cumberland Conference
Madawaska Seventh-day Adventist Fellowship Group,Northern New England Conference
Madera Seventh-day Adventist Church,Central California Conference
Madera Seventh-day Adventist Hispanic Church,Central California Conference
Madison Campus Seventh-day Adventist Church,Kentucky-Tennessee Conference
Madison Community Seventh-day Adventist Church,Wisconsin Conference
Madison Hispanic Seventh-day Adventist Company,Wisconsin Conference
Madison Mission Seventh-day Adventist Church,South Central Conference
Madison Seventh-day Adventist Church,Georgia-Cumberland Conference
Madison Seventh-day Adventist Church,Florida Conference
Madison Seventh-day Adventist Church,Indiana Conference
Madison Seventh-day Adventist Church,Ohio Conference
Madison Seventh-day Adventist Church (Monona),Wisconsin Conference
Madison Spanish-American Seventh-day Adventist Church,Kentucky-Tennessee Conference
